kilometre,pace
1,5.687742914020286858197776676
2,5.687742914020286858197776676
3,5.687742914020286858197776676
4,5.687742914020286858197776676
5,5.687742914020286858197776676
6,5.687742914020286858197776676
7,5.687742914020286858197776676
8,5.687742914020286858197776676
9,5.687742914020286858197776676
10,5.687742914020286858197776676
11,5.687742914020286858197776676
12,5.687742914020286858197776676
13,5.687742914020286858197776676
14,5.687742914020286858197776676
15,5.687742914020286858197776676
16,5.687742914020286858197776676
17,5.687742914020286858197776676
18,5.687742914020286858197776676
19,5.687742914020286858197776676
20,5.687742914020286858197776676
21,5.687742914020286858197776676
22,5.687742914020286858197776676
23,5.687742914020286858197776676
24,5.687742914020286858197776676
25,5.687742914020286858197776676
26,5.687742914020286858197776676
27,5.687742914020286858197776676
28,5.687742914020286858197776676
29,5.687742914020286858197776676
30,5.687742914020286858197776676
31,5.687742914020286858197776676
32,5.687742914020286858197776676
33,5.687742914020286858197776676
34,5.687742914020286858197776676
35,5.687742914020286858197776676
36,5.687742914020286858197776676
37,5.687742914020286858197776676
38,5.687742914020286858197776676
39,5.687742914020286858197776676
40,5.687742914020286858197776676
41,5.687742914020286858197776676
42,5.687742914020286858197776676
